vehicle_id,plate_number,vehicle_type,capacity_kg,manufacture_year,mileage_km,last_service_date,is_active
1,715 NAR,Heavy Truck,19858,2010,250629,2025-07-30,True
2,976 GQJ,Van,1110,2013,359156,2025-09-22,True
3,X74 5SZ,Truck,4855,2021,62510,2026-01-05,True
4,826 DQ8,Truck,5166,2014,362694,2025-09-18,True
5,343-TMRX,Heavy Truck,20107,2019,96506,2025-10-26,True
6,589 EYV,Heavy Truck,20019,2022,74672,2025-10-03,True
7,1H118,Truck,5050,2011,434755,2026-03-23,True
8,244-781,Van,1175,2015,293013,2025-08-19,True
9,KVY 065,Truck,5038,2020,99823,2025-06-27,True
10,1-12396,Van,942,2021,93677,2025-11-24,True
11,YSU7305,Truck,4972,2013,341786,2025-04-21,False
12,6A-KEKX,Truck,4932,2023,22385,2025-12-11,True
13,Z75-YUJ,Van,843,2019,122943,2025-07-08,True
14,651-842,Heavy Truck,20043,2016,253547,2025-11-26,True
15,5P419,Truck,4913,2017,232142,2026-02-10,True
16,WQE 844,Truck,5083,2013,293422,2025-09-22,True
17,ISM 199,Truck,4956,2016,246392,2025-08-09,True
18,856-LPU,Heavy Truck,19894,2011,256590,2025-06-28,True
19,2-95685,Heavy Truck,20105,2021,84319,2025-06-01,True
20,513 CUC,Van,954,2011,255048,2025-09-26,False
21,37-54919,Heavy Truck,19949,2018,104510,2026-03-02,True
22,906-CUG,Heavy Truck,19945,2012,313722,2026-03-23,True
23,960-SWF,Truck,5044,2017,160024,2026-03-03,True
24,9630 MV,Heavy Truck,20151,2011,364482,2025-06-07,True
25,2OC 047,Van,860,2012,473412,2026-02-14,True
26,SMQ-3549,Van,1197,2016,289661,2025-05-17,True
27,ICU-473,Truck,4956,2017,189806,2025-06-01,True
28,EMO-048,Van,1120,2010,579783,2026-02-07,True
29,T07 4VH,Heavy Truck,19838,2020,60949,2025-12-31,True
30,TVP 527,Truck,4816,2016,256131,2025-08-01,True
