shipment_id,customer_id,driver_id,vehicle_id,route_origin_city,route_origin_country,route_dest_city,route_dest_country,distance_km,region,route_type,scheduled_pickup,actual_pickup,scheduled_delivery,actual_delivery,planned_duration_hrs,actual_duration_hrs,delay_minutes,is_delayed,status,weight_kg,cost_usd,fuel_consumed_liters,weather_condition,temperature_celsius,wind_speed_kmh
1,80,13,18,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2024-04-09T07:15:00,2024-04-09T07:35:00,2024-04-09T13:37:24,2024-04-09T13:37:24,6.04,6.04,0,False,on_time,9407.13,1011.99,148.23,Rain,9.4,21.9
2,47,3,26,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-05-26T07:00:00,2023-05-26T07:09:00,2023-05-27T12:51:00,2023-05-27T15:46:12,29.7,32.62,175,True,delayed,448.58,1534.33,570.53,Fog,6.0,25.4
3,53,1,22,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2023-03-24T15:00:00,2023-03-24T15:19:00,2023-03-24T21:25:36,2023-03-24T21:25:36,6.11,6.11,0,False,on_time,4032.35,876.03,208.97,Cloudy,22.5,48.1
4,27,15,26,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-11-19T10:00:00,2024-11-19T10:20:00,2024-11-20T15:17:00,2024-11-20T20:42:12,28.95,34.37,325,True,failed,451.37,1834.81,958.9,Snow,-4.8,66.1
5,45,30,7,London,UK,Berlin,Germany,930,Europe,Road,2024-02-23T11:30:00,2024-02-23T11:40:00,2024-02-23T23:16:36,2024-02-23T23:16:36,11.61,11.61,0,False,on_time,1692.46,1114.99,324.93,Cloudy,16.0,62.0
6,27,24,28,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-11-19T10:30:00,2023-11-19T10:46:00,2023-11-21T00:34:36,2023-11-21T00:34:36,37.81,37.81,0,False,on_time,747.89,1728.44,912.97,Cloudy,16.9,9.1
7,62,9,28,Nairobi,Kenya,Dar Salaam,Tanzania,530,Africa,Road,2024-05-25T16:45:00,2024-05-25T16:49:00,2024-05-25T23:13:00,2024-05-26T00:53:12,6.4,8.07,100,True,delayed,834.81,418.75,188.01,Clear,17.4,78.0
8,23,5,17,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-12-27T08:30:00,2024-12-27T08:32:00,2024-12-27T16:53:36,2024-12-27T16:53:36,8.36,8.36,0,False,on_time,929.66,820.44,170.89,Rain,19.4,53.6
9,50,50,6,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-10-26T14:30:00,2023-10-26T14:45:00,2023-10-27T17:22:48,2023-10-27T17:22:48,26.63,26.63,0,False,on_time,3941.21,3509.62,593.55,Cloudy,23.8,43.1
10,81,12,24,Dubai,UAE,Mumbai,India,1930,Middle East,Air,2023-10-10T18:45:00,2023-10-10T18:53:00,2023-10-11T22:22:24,2023-10-11T22:22:24,27.49,27.49,0,False,on_time,13236.89,3323.12,568.93,Heavy Rain,10.9,79.9
11,81,35,17,Istanbul,Turkey,Athens,Greece,680,Europe,Road,2024-04-02T14:45:00,2024-04-02T15:02:00,2024-04-03T00:42:12,2024-04-03T00:42:12,9.67,9.67,0,False,on_time,1526.7,886.64,258.7,Heavy Rain,14.8,22.9
12,68,35,5,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2024-02-25T06:30:00,2024-02-25T06:42:00,2024-02-25T20:40:12,2024-02-25T20:40:12,13.97,13.97,0,False,on_time,6241.0,2137.77,429.08,Clear,34.6,42.1
13,23,43,3,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-08-27T11:00:00,2024-08-27T11:16:00,2024-08-28T15:05:48,2024-08-28T15:05:48,27.83,27.83,0,False,on_time,3540.63,2600.84,651.9,Clear,32.4,77.7
14,80,32,16,London,UK,Berlin,Germany,930,Europe,Road,2023-09-29T11:45:00,2023-09-29T12:02:00,2023-09-29T23:44:00,2023-09-29T23:44:00,11.7,11.7,0,False,on_time,1576.27,1075.08,332.76,Cloudy,21.4,70.4
15,33,4,18,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2023-08-29T16:30:00,2023-08-29T16:43:00,2023-08-30T19:24:24,2023-08-30T19:24:24,26.69,26.69,0,False,on_time,15571.52,4544.96,853.4,Cloudy,11.5,17.5
16,23,49,3,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2023-02-17T11:00:00,2023-02-17T11:04:00,2023-02-17T18:46:00,2023-02-17T18:46:00,7.7,7.7,0,False,on_time,986.25,624.81,186.7,Fog,3.8,18.1
17,83,18,28,Barcelona,Spain,Lyon,France,640,Europe,Road,2024-09-26T16:15:00,2024-09-26T16:22:00,2024-09-27T00:54:24,2024-09-27T00:54:24,8.54,8.54,0,False,on_time,440.13,486.81,184.51,Heavy Rain,5.1,65.3
18,71,10,15,Lagos,Nigeria,Accra,Ghana,530,Africa,Road,2023-06-11T07:45:00,2023-06-11T07:54:00,2023-06-11T13:54:00,2023-06-11T13:54:00,6.0,6.0,0,False,on_time,2529.34,626.37,152.38,Rain,18.1,19.9
19,31,48,6,Amsterdam,NL,Warsaw,Poland,1150,Europe,Road,2023-04-20T09:45:00,2023-04-20T09:54:00,2023-04-21T00:48:00,2023-04-21T00:48:00,14.9,14.9,0,False,on_time,400.27,2206.64,355.78,Heavy Rain,5.1,69.9
20,41,23,18,Casablanca,Morocco,Paris,France,2400,Europe-Africa,Road,2024-05-23T10:15:00,2024-05-23T10:34:00,2024-05-24T17:15:24,2024-05-24T18:33:24,30.69,31.99,78,True,delayed,4026.24,4540.82,876.29,Fog,8.8,15.3
21,48,3,22,London,UK,Berlin,Germany,930,Europe,Road,2024-10-23T06:30:00,2024-10-23T06:34:00,2024-10-23T17:41:12,2024-10-23T19:44:12,11.12,13.17,123,True,delayed,1483.66,1605.4,336.77,Fog,3.8,14.9
